epoch,train_loss,val_loss
0,3935070700.0,873464400.0
1,471470140.0,323617400.0
2,176183420.0,157731940.0
3,80143760.0,55201570.0
4,33315020.0,4405868.5
5,1800743.5,1746131.0
6,1075527.0,717272.7
7,577741.0,349681.03
8,399475.6,158270.95
9,262550.88,77374.32
10,59869.402,62606.2
11,45461.285,52245.207
12,46194.55,36765.766
13,35810.42,28991.877
14,15196.5,26463.338
15,24106.408,21267.809
16,12399.537,18681.457
17,6459.2847,17571.756
18,15050.486,14614.679
19,8224.508,12071.404
20,5904.248,10738.559
21,3514.9128,9100.68
22,2004.9397,7565.6704
23,1326.4365,6723.4688
24,4365.597,5427.2935
25,1139.98,4980.9077
26,2020.3672,4270.9863
27,1325.897,3529.4788
28,4066.1116,1811.8173
29,338.20297,1556.2872
30,2150.935,729.97876
31,180.45612,635.0191
