epoch,train_mse,val_mse,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct
0,11973.360255821079,11432.791015625,83.01764832609085,6.8806414472978945,11.178137793443247,-642.6786989044496
1,7143.786908318015,3397.4075846354167,10.194049220759652,6.8806414472978945,11.178137793443247,8.803689763610096
2,2527.5047966452207,2400.2208170572917,8.505751543777894,6.8806414472978945,11.178137793443247,23.907258069701847
3,2321.695080327053,2315.249747721354,8.401477877245739,6.8806414472978945,11.178137793443247,24.840093828743203
4,2191.9670888863357,2264.162320963542,8.33694698821863,6.8806414472978945,11.178137793443247,25.417389351660812
5,2176.7371610753676,2226.3799397786456,8.293863389672817,6.8806414472978945,11.178137793443247,25.80281668617699
6,2133.3886455461093,2198.0251708984374,8.26445674432394,6.8806414472978945,11.178137793443247,26.065889533302965
7,2121.4033035577513,2180.0605224609376,8.24933843610899,6.8806414472978945,11.178137793443247,26.201138431592785
8,2131.2025768803614,2163.2628173828125,8.23395051513064,6.8806414472978945,11.178137793443247,26.33879929481256
9,2113.5897623697915,2147.193994140625,8.214640586157142,6.8806414472978945,11.178137793443247,26.511546574639667
